iter	RMSE
0	5.219339126
1	5.108755784
2	5.005301805
3	4.908945542
4	4.815028623
5	4.731553801
6	4.647322973
7	4.58102008
8	4.503769659
9	4.435918381
10	4.37115343
11	4.310774764
12	4.255469822
13	4.19804502
14	4.151582277
15	4.103978093
16	4.054917253
17	4.011910812
18	3.96780741
19	3.926694138
20	3.885155669
21	3.849352683
22	3.817209707
23	3.780788743
24	3.748999088
25	3.719559171
26	3.688524801
27	3.658000954
28	3.631026104
29	3.606402299
30	3.580217464
31	3.556053998
32	3.53215922
33	3.509531824
34	3.492918806
35	3.470444521
36	3.452880571
37	3.433235632
38	3.414416015
39	3.394446006
40	3.378213035
41	3.361362914
42	3.344953997
43	3.332428378
44	3.318374452
45	3.304652681
46	3.29067442
47	3.279970606
48	3.266350528
49	3.254727373
50	3.237859759
51	3.227060883
52	3.214672989
53	3.195808967
54	3.177473791
55	3.166102822
56	3.151397814
57	3.140213812
58	3.129948556
59	3.121122761
60	3.113493075
61	3.097858329
62	3.09061118
63	3.08052712
64	3.072793872
65	3.061238896
66	3.053889959
67	3.03964796
68	3.028753737
69	3.021264841
70	3.011825143
71	3.005252319
72	2.999064687
73	2.989816298
74	2.982984683
75	2.977322354
76	2.97121284
77	2.961853884
78	2.95266762
79	2.945732366
80	2.939182414
81	2.934102527
82	2.925959306
83	2.876296747
84	2.868598246
85	2.863510674
86	2.855751852
87	2.833079495
88	2.828963049
89	2.823924932
90	2.818658352
91	2.814289325
92	2.808671253
93	2.801725443
94	2.793686357
95	2.787707857
96	2.78091452
97	2.775797569
98	2.77201671
99	2.764935254
100	2.760935146
101	2.757453559
102	2.753234149
103	2.749184058
104	2.744181289
105	2.740881596
106	2.737489733
107	2.733926306
108	2.729481673
109	2.725880441
110	2.722726811
111	2.720214792
112	2.714004766
113	2.709939043
114	2.706211156
115	2.700324703
116	2.697278949
117	2.695201632
118	2.692444203
119	2.689883606
120	2.633479398
121	2.614475731
122	2.611308682
123	2.560083754
124	2.554369229
125	2.55178537
126	2.550686385
127	2.548230645
128	2.545035741
129	2.540647701
130	2.536241552
131	2.534164223
132	2.531782761
133	2.530206497
134	2.493825036
135	2.491310817
136	2.488775091
137	2.483882644
138	2.44751162
139	2.444400816
140	2.44220877
141	2.43911568
142	2.435459615
143	2.393215948
144	2.390785539
145	2.387860995
146	2.355892044
147	2.353170546
148	2.351418893
149	2.347588896
150	2.344400392
151	2.342183685
152	2.338885753
153	2.336567006
154	2.333970388
155	2.320241944
156	2.318570144
157	2.317197699
158	2.316074673
159	2.303955421
160	2.291167701
161	2.288569323
162	2.286805899
163	2.284228191
164	2.251994412
165	2.249166757
166	2.24722279
167	2.245255934
168	2.243339455
169	2.240836699
170	2.238164012
171	2.236722525
172	2.23412409
173	2.203447502
174	2.197671436
175	2.195724343
176	2.186876438
177	2.186152873
178	2.184310339
179	2.182197816
180	2.177279197
181	2.174229218
182	2.17137128
183	2.169259655
184	2.166424918
185	2.163736307
186	2.162517448
187	2.161731631
188	2.159640032
189	2.157651416
190	2.155746619
191	2.15482537
192	2.15289764
193	2.151135501
194	2.148785339
195	2.14753138
196	2.146460982
197	2.14363836
198	2.14245792
199	2.115264907
200	2.113847166
201	2.112225571
202	2.111144108
203	2.108750668
204	2.083638751
205	2.081953934
206	2.061119496
207	2.059101158
208	2.050978293
209	2.049542347
210	2.044702293
211	2.042351003
212	2.041411167
213	2.040232641
214	2.032489559
215	2.031712832
216	2.029549813
217	2.027820299
218	2.025667721
219	2.024704286
220	1.998601807
221	1.98977527
222	1.966665027
223	1.959330031
224	1.957316398
225	1.955468356
226	1.953578251
227	1.951944579
228	1.950738543
229	1.924325507
230	1.921577493
231	1.919313457
232	1.910085487
233	1.902232203
234	1.899507379
235	1.897688839
236	1.89620349
237	1.894413288
238	1.893307629
239	1.885905574
240	1.884267892
241	1.882582521
242	1.880618485
243	1.879109516
244	1.878205097
245	1.861530441
246	1.854433668
247	1.853400967
248	1.825517248
249	1.821200511
250	1.801758719
251	1.800414832
252	1.778239686
253	1.776864799
254	1.775295822
255	1.77375731
256	1.771679951
257	1.770856245
258	1.769529244
259	1.765647367
260	1.74353334
261	1.741876841
262	1.740838061
263	1.739447442
264	1.735057056
265	1.734059779
266	1.73238988
267	1.730509093
268	1.728312587
