iter	Passed	Remaining
0	32	25675
1	73	29325
2	114	30365
3	157	31406
4	210	33507
5	254	33676
6	298	33802
7	340	33712
8	382	33632
9	425	33577
10	466	33470
11	509	33443
12	551	33412
13	593	33307
14	634	33214
15	677	33179
16	717	33063
17	760	33057
18	803	33029
19	844	32926
20	887	32928
21	928	32851
22	971	32823
23	1020	32987
24	1061	32902
25	1101	32800
26	1142	32701
27	1183	32631
28	1224	32555
29	1266	32494
30	1306	32405
31	1347	32349
32	1396	32466
33	1438	32398
34	1479	32329
35	1537	32632
36	1605	33100
37	1665	33406
38	1709	33350
39	1758	33409
40	1800	33333
41	1843	33271
42	1886	33204
43	1927	33112
44	1969	33041
45	2010	32961
46	2054	32908
47	2094	32821
48	2135	32737
49	2178	32678
50	2222	32640
51	2264	32571
52	2305	32495
53	2347	32435
54	2391	32397
55	2433	32330
56	2477	32296
57	2520	32244
58	2561	32173
59	2602	32101
60	2645	32051
61	2686	31983
62	2728	31919
63	2770	31859
64	2811	31787
65	2853	31732
66	2894	31669
67	2936	31610
68	2978	31559
69	3021	31510
70	3065	31474
71	3129	31644
72	3174	31611
73	3216	31558
74	3256	31477
75	3297	31416
76	3338	31350
77	3378	31275
78	3420	31218
79	3460	31143
80	3502	31091
81	3544	31033
82	3585	30973
83	3629	30934
84	3721	31300
85	3767	31280
86	3813	31250
87	3867	31289
88	3910	31239
89	3963	31264
90	4024	31353
91	4076	31373
92	4127	31381
93	4188	31457
94	4231	31400
95	4272	31334
96	4315	31275
97	4358	31222
98	4401	31164
99	4443	31105
100	4486	31051
101	4530	31002
102	4573	30948
103	4617	30904
104	4659	30842
105	4702	30791
106	4745	30733
107	4790	30692
108	4833	30644
109	4876	30591
110	4918	30533
111	4959	30463
112	5001	30404
113	5042	30344
114	5085	30293
115	5129	30248
116	5174	30205
117	5217	30152
118	5259	30098
119	5301	30041
120	5344	29990
121	5389	29951
122	5432	29899
123	5474	29842
124	5517	29795
125	5563	29758
126	5606	29710
127	5650	29666
128	5693	29613
129	5734	29557
130	5777	29505
131	5818	29446
132	5868	29432
133	5921	29430
134	5967	29395
135	6012	29355
136	6053	29294
137	6097	29248
138	6141	29203
139	6184	29153
140	6225	29098
141	6266	29039
142	6308	28983
143	6350	28930
144	6394	28885
145	6437	28837
146	6478	28778
147	6520	28724
148	6562	28670
149	6604	28621
150	6647	28569
151	6686	28505
152	6727	28449
153	6768	28394
154	6809	28336
155	6850	28278
156	6890	28219
157	6931	28164
158	6972	28107
159	7013	28053
160	7055	28002
161	7100	27962
162	7141	27907
163	7182	27853
164	7225	27806
165	7267	27756
166	7310	27709
167	7351	27654
168	7392	27603
169	7435	27554
170	7477	27505
171	7519	27454
172	7563	27410
173	7606	27367
174	7648	27316
175	7689	27264
176	7731	27213
177	7780	27186
178	7821	27133
179	7863	27083
180	7904	27031
181	7947	26985
182	7989	26935
183	8032	26891
184	8102	26935
185	8146	26893
186	8188	26843
187	8230	26791
